label,message
spam,"Your KYC is pending. Update now to avoid account suspension: http://verify-kyc.in"
spam,"Your UPI ID has been temporarily blocked. Click to reactivate: http://upi-verify.co"
spam,"Urgent! Your bank account will be frozen in 24 hours. Verify immediately."
spam,"Congratulations! You have won a ₹10,000 Amazon voucher. Claim now!"
spam,"Your electricity bill payment failed. Pay here to avoid disconnection: http://pay-power.in"
spam,"You have a pending courier. Pay ₹49 to release your package."
spam,"Your PAN card is invalid. Re-verify now to avoid penalties."
spam,"Your mobile number is selected for a free gift. Claim your prize now!"
spam,"Loan approved! Get up to ₹5,00,000 instantly. No documents required."
spam,"Your Adhaar card update has been rejected. Click to fix now."
spam,"Free 100GB data! Activate your exclusive internet offer."
spam,"You have been selected for a work-from-home job earning ₹5,000/day. Apply now!"
spam,"Your parcel is on hold at customs. Clear ₹75 fee to continue delivery."
spam,"Get 80% off on all electronics. Limited time offer!"
spam,"Your SBI account is flagged for unusual activity. Secure your account now."
spam,"Dear customer, your debit card will expire soon. Update details here."
spam,"Claim your guaranteed cashback reward now. Limited seats!"
spam,"Your refund of ₹8,750 is ready. Confirm bank details to receive."
spam,"Your WhatsApp account will be deactivated. Verify within 2 hours."
spam,"You have a pending FASTag toll payment. Clear dues immediately."
spam,"You have received a secret reward. Tap to reveal: http://giftbox.co"
spam,"Final warning! Complete your KYC now to keep your UPI active."
spam,"Exclusive Netflix subscription for just ₹49/month. Buy now!"
spam,"Upgrade your credit score instantly! Check eligibility here."
spam,"Your bank account shows an error. Complete verification urgently."
spam,"New job vacancies! Earn ₹10,000 daily by completing simple tasks."
spam,"Your ATM withdrawal was blocked. Enable your account instantly."
spam,"You are today's lucky winner of an iPhone 15!"
spam,"Your Paytm wallet has been locked. Restore access now."
spam,"Immediate action required: Update PAN–Aadhaar linking."
spam,"Recharge now & get 5GB extra data. Offer ends soon!"
spam,"Congratulations! You've been selected for home loan at 0% interest."
spam,"Win guaranteed ₹500 on signup. Limited offer!"
spam,"We detected a login from a new device. Verify if this was you."
spam,"You have received a secure document. Open to view."
spam,"Your package delivery failed due to address issues. Update your address now."
spam,"Get 300% bonus on your first betting deposit. Join now!"
spam,"Your phone is infected with 3 viruses! Clean now."
spam,"You are pre-approved for instant personal loan. Apply here."
spam,"Your bank locker request is approved. Pay the activation fee."
spam,"Dear user, your account has been selected for a cashback reward."
spam,"Your GST registration requires urgent confirmation. Click here."
spam,"Unlock premium membership for just ₹1 today!"
spam,"Get exclusive early access to summer sale. Hurry!"
spam,"Dear customer, your mobile bill payment is overdue. Pay now."
spam,"Your e-commerce order requires confirmation. Confirm here."
spam,"Your IRCTC ticket is waitlisted. Pay to upgrade."
spam,"Your KYC for PayLater is incomplete. Complete instantly."
spam,"We found a suspicious transaction. Verify immediately."
spam,"Earn money by completing online surveys. Limited seats!"
spam,"You have received a pending settlement of ₹12,500."
spam,"Your SIM will be blocked due to incomplete verification."
spam,"Claim your free crypto token bonus today!"
spam,"Your email storage is full. Expand space now."
spam,"Your reward card has been activated. Redeem now."
spam,"You have won free grocery coupons. Click to receive."
spam,"Your toll payment failed. Pay the outstanding amount."
spam,"Your Flipkart delivery is delayed. Confirm address."
spam,"Mega sale! Grab 70% off on branded items."
spam,"Activate premium antivirus for just ₹10."
spam,"Your bank KYC has expired. Update to continue services."
spam,"Your online banking password has been compromised. Reset now."
spam,"Earn ₹3,000 instantly by referring friends."
spam,"You have been approved for business loan. Apply instantly."
spam,"Your account is under review. Confirm details to regain access."
spam,"Get instant approval for credit card with zero documents."
spam,"Your account shows suspicious activity. Login to secure."
spam,"Your Aadhaar-mobile link is expiring soon. Update now."
spam,"Last chance! Grab exclusive offers before midnight."
spam,"Win free recharge vouchers instantly!"
spam,"Dear client, you are selected for a cashback bonus."
spam,"Pay ₹49 handling charge to receive your parcel."
spam,"Your car insurance renewal is due. Renew now."
spam,"Urgent! Your PayPal account needs verification."
spam,"Your birthday reward is ready to claim!"
spam,"Exclusive offer: Unlimited movies for ₹20."
spam,"We are processing your refund. Confirm bank account."
spam,"Your credit limit has been increased. Activate now."
spam,"Your income tax refund is available. Verify now."
spam,"Your Amazon account has been locked. Restore access."
spam,"Recharge now & get double validity!"
spam,"Your phone warranty is expiring. Extend today."
spam,"You have pending cashback rewards waiting."
spam,"Your ATM card is issued. Pay delivery fee."
spam,"Click to upgrade to premium caller tune service."
spam,"Your mobile number is selected for a VIP plan."
spam,"You have been shortlisted for a high-paying job."
spam,"Win ₹1 lakh by participating in our survey!"
spam,"Your medical insurance card is ready. Activate now."
spam,"Your digital wallet limit is reduced. Update KYC."
spam,"Get exclusive trading tips for huge profits!"
spam,"Your courier is stuck in customs. Pay to release."
spam,"Dear customer, get personal loan with 0% interest!"
spam,"Your Google account detected unusual activity."
spam,"Special discount on all beauty products. Shop now!"
spam,"Your electricity meter upgrade is due. Schedule now."
